date,total_visits,total_devices,total_visits_per_device,mean_7,year,julian_day
2019-03-01,15654,20946008,0.000747350043979741,0.000709065520555301,2019,60
2019-03-02,15022,20634193,0.000728014902254719,0.000696193191087874,2019,61
2019-03-03,10590,20486747,0.000516919548037568,0.00068573240117633,2019,62
2019-03-04,12720,20932296,0.000607673424835957,0.000672377834964214,2019,63
2019-03-05,13100,20543590,0.000637668489295201,0.000661039524584041,2019,64
2019-03-06,13505,19779803,0.00068276716406124,0.000651767925875731,2019,65
2019-03-07,13919,20003581,0.000695825412459899,0.000659459854989189,2019,66
2019-03-08,16083,20515053,0.000783960928592288,0.00066468998136241,2019,67
2019-03-09,14980,19464466,0.000769607550497404,0.000670631788254222,2019,68
2019-03-10,10570,19421056,0.000544254648150955,0.000674536802556135,2019,69
2019-03-11,12767,20085756,0.000635624568973157,0.000678529823147163,2019,70
2019-03-12,12248,19874171,0.000616277277678651,0.000675473935773371,2019,71
2019-03-13,13410,19908649,0.000673576594775467,0.000674160997303974,2019,72
2019-03-14,14345,20043477,0.000715694188189005,0.000676999393836704,2019,73
2019-03-15,17415,19788506,0.00088005633169073,0.000690727308565053,2019,74
2019-03-16,16070,19123540,0.000840325588254058,0.000700829885387432,2019,75
2019-03-17,11238,18864055,0.000595736176553768,0.000708184389444977,2019,76
2019-03-18,12667,19380127,0.000653607687916596,0.000710753406436897,2019,77
2019-03-19,14351,19412865,0.000739252037244374,0.000728321229232,2019,78
2019-03-20,14846,19567082,0.000758723247544013,0.000740485036770363,2019,79
2019-03-21,14837,19392958,0.000765071527510141,0.000747538942387669,2019,80
2019-03-22,17694,19357427,0.000914067763241468,0.000752397718323488,2019,81
2019-03-23,16707,18851096,0.000886261467237767,0.000758959986749732,2019,82
2019-03-24,12236,18856663,0.000648895300297831,0.000766554147284598,2019,83
2019-03-25,13550,19426705,0.000697493476119599,0.000772823545599313,2019,84
2019-03-26,13989,19194696,0.000728795079640751,0.000771329694513081,2019,85
2019-03-27,14344,18948412,0.00075700275041518,0.000771083909208962,2019,86
2019-03-28,17598,19119765,0.000920408802095632,0.000793274948435461,2019,87
2019-03-29,17772,19021054,0.000934333081647316,0.000796169993922011,2019,88
2019-03-30,16457,18363218,0.000896193684570972,0.000797588882112469,2019,89
2019-03-31,9500,18312388,0.000518774503904133,0.000779000196913369,2019,90
2019-04-01,12242,19888748,0.000615523913320235,0.000767290259370603,2019,91
2019-04-02,13273,19910475,0.000666634020534417,0.000758410108069698,2019,92
2019-04-03,14031,19511554,0.000719112378234968,0.000752997197758239,2019,93
2019-04-04,14957,20026887,0.00074684597761,0.000728202508546006,2019,94
2019-04-05,17233,19676548,0.000875814192611428,0.000719842667255165,2019,95
2019-04-06,16262,19219102,0.00084613734814457,0.000712691762051393,2019,96
2019-04-07,11177,19330756,0.00057819776939919,0.000721180799979258,2019,97
2019-04-08,12613,19823825,0.000636254607776249,0.000724142327758689,2019,98
2019-04-09,13572,19785142,0.00068596929958855,0.000726904510480708,2019,99
2019-04-10,14127,19687931,0.000717546196195019,0.000726680770189286,2019,100
2019-04-11,14393,19482489,0.000738765975948966,0.00072552648423771,2019,101
2019-04-12,17846,19281237,0.000925563022745895,0.000732633459971206,2019,102
2019-04-13,17018,19173312,0.000887587913866942,0.000738554969360116,2019,103
2019-04-14,12256,19182430,0.00063891800986632,0.000747229289426849,2019,104
2019-04-15,14415,19781034,0.000728728336445911,0.000760439822093943,2019,105
2019-04-16,15249,19514511,0.000781418504414484,0.000774075422783363,2019,106
2019-04-17,15479,19153356,0.000808161243387321,0.00078702042952512,2019,107
2019-04-18,16209,19698732,0.000822844840977582,0.000799031695957779,2019,108
2019-04-19,21291,19293441,0.00110353565234942,0.000824456357329711,2019,109
2019-04-20,18420,18246864,0.00100948853457778,0.000841870731716973,2019,110
