"date","year","month","trade.flow","prod.form","value"
2019-07-01,"2019",7,"import","Dried, salted, etc.",24514447
2019-07-01,"2019",7,"import","Frozen",1096427197
2019-07-01,"2019",7,"import","Live, Fresh or chilled",437753412
2019-07-01,"2019",7,"import",NA,24357068
2019-08-01,"2019",8,"export","Dried, salted, etc.",5835831
2019-08-01,"2019",8,"export","Frozen",543003019
2019-08-01,"2019",8,"export","Live, Fresh or chilled",151310470
2019-08-01,"2019",8,"export",NA,2532773
2019-08-01,"2019",8,"import","Dried, salted, etc.",22668754
2019-08-01,"2019",8,"import","Frozen",1091400225
2019-08-01,"2019",8,"import","Live, Fresh or chilled",420288176
2019-08-01,"2019",8,"import",NA,24083844
2019-09-01,"2019",9,"export","Dried, salted, etc.",4950138
2019-09-01,"2019",9,"export","Frozen",426952627
2019-09-01,"2019",9,"export","Live, Fresh or chilled",134244463
2019-09-01,"2019",9,"export",NA,2827516
2019-09-01,"2019",9,"import","Dried, salted, etc.",24137066
2019-09-01,"2019",9,"import","Frozen",988103013
2019-09-01,"2019",9,"import","Live, Fresh or chilled",391792840
2019-09-01,"2019",9,"import",NA,21506817
2019-10-01,"2019",10,"export","Dried, salted, etc.",2499316
2019-10-01,"2019",10,"export","Frozen",358434290
2019-10-01,"2019",10,"export","Live, Fresh or chilled",167143473
2019-10-01,"2019",10,"export",NA,1743254
2019-10-01,"2019",10,"import","Dried, salted, etc.",31509795
2019-10-01,"2019",10,"import","Frozen",1086869669
2019-10-01,"2019",10,"import","Live, Fresh or chilled",368138586
2019-10-01,"2019",10,"import",NA,21371256
2019-11-01,"2019",11,"export","Dried, salted, etc.",4975396
2019-11-01,"2019",11,"export","Frozen",216977674
2019-11-01,"2019",11,"export","Live, Fresh or chilled",126812976
2019-11-01,"2019",11,"export",NA,3294127
2019-11-01,"2019",11,"import","Dried, salted, etc.",28763960
2019-11-01,"2019",11,"import","Frozen",1010773963
2019-11-01,"2019",11,"import","Live, Fresh or chilled",341800613
2019-11-01,"2019",11,"import",NA,21075180
2019-12-01,"2019",12,"export","Dried, salted, etc.",6434141
2019-12-01,"2019",12,"export","Frozen",136845632
2019-12-01,"2019",12,"export","Live, Fresh or chilled",106985766
2019-12-01,"2019",12,"export",NA,2860607
2019-12-01,"2019",12,"import","Dried, salted, etc.",31103103
2019-12-01,"2019",12,"import","Frozen",1087454116
2019-12-01,"2019",12,"import","Live, Fresh or chilled",424262076
2019-12-01,"2019",12,"import",NA,25454489
2020-01-01,"2020",1,"export","Dried, salted, etc.",2247470
2020-01-01,"2020",1,"export","Frozen",89059649
2020-01-01,"2020",1,"export","Live, Fresh or chilled",95746499
2020-01-01,"2020",1,"export",NA,2260235
2020-01-01,"2020",1,"import","Dried, salted, etc.",21615167
2020-01-01,"2020",1,"import","Frozen",1034323886
2020-01-01,"2020",1,"import","Live, Fresh or chilled",439678905
2020-01-01,"2020",1,"import",NA,22413842
2020-02-01,"2020",2,"export","Dried, salted, etc.",4573235
2020-02-01,"2020",2,"export","Frozen",247487297
2020-02-01,"2020",2,"export","Live, Fresh or chilled",46622814
2020-02-01,"2020",2,"export",NA,1989498
